Loading gnu/11.2.0
  Loading requirement: binutils/11.2.0
Error in cpuinfo: prctl(PR_SVE_GET_VL) failed
Sliding Window Attention is enabled but not implemented for `sdpa`; unexpected results may be encountered.
Baseline model: 494,032,768 params (all trainable)
data  train=54473  val=3000
epoch 1/3  step 3520/13619  loss=0.2012  lr=1.98e-05
epoch 1/3  step 3530/13619  loss=0.3143  lr=1.98e-05
epoch 1/3  step 3540/13619  loss=0.2562  lr=1.98e-05
epoch 1/3  step 3550/13619  loss=0.3202  lr=1.98e-05
epoch 1/3  step 3560/13619  loss=0.2958  lr=1.98e-05
epoch 1/3  step 3570/13619  loss=0.2571  lr=1.98e-05
epoch 1/3  step 3580/13619  loss=0.2267  lr=1.98e-05
epoch 1/3  step 3590/13619  loss=0.2430  lr=1.98e-05
epoch 1/3  step 3600/13619  loss=0.2965  lr=1.98e-05
epoch 1/3  step 3610/13619  loss=0.2514  lr=1.98e-05
epoch 1/3  step 3620/13619  loss=0.2478  lr=1.98e-05
epoch 1/3  step 3630/13619  loss=0.2161  lr=1.98e-05
epoch 1/3  step 3640/13619  loss=0.3042  lr=1.98e-05
epoch 1/3  step 3650/13619  loss=0.2414  lr=1.98e-05
epoch 1/3  step 3660/13619  loss=0.2425  lr=1.98e-05
epoch 1/3  step 3670/13619  loss=0.2304  lr=1.97e-05
epoch 1/3  step 3680/13619  loss=0.3346  lr=1.97e-05
epoch 1/3  step 3690/13619  loss=0.3027  lr=1.97e-05
epoch 1/3  step 3700/13619  loss=0.2421  lr=1.97e-05
epoch 1/3  step 3710/13619  loss=0.2046  lr=1.97e-05
epoch 1/3  step 3720/13619  loss=0.4336  lr=1.97e-05
epoch 1/3  step 3730/13619  loss=0.3260  lr=1.97e-05
epoch 1/3  step 3740/13619  loss=0.2036  lr=1.97e-05
epoch 1/3  step 3750/13619  loss=0.2359  lr=1.97e-05
epoch 1/3  step 3760/13619  loss=0.3001  lr=1.97e-05
epoch 1/3  step 3770/13619  loss=0.3091  lr=1.97e-05
epoch 1/3  step 3780/13619  loss=0.2218  lr=1.97e-05
epoch 1/3  step 3790/13619  loss=0.2790  lr=1.97e-05
epoch 1/3  step 3800/13619  loss=0.2968  lr=1.97e-05
epoch 1/3  step 3810/13619  loss=0.3355  lr=1.97e-05
